epoch_id,train_serial,lr,train_loss,train_miou,train_iou1,train_iou2,train_iou3,train_elapsed_time,val_loss,val_miou,val_iou1,val_iou2,val_iou3,val_elapsed_time
0,20221113_101737,[0.0005],0.20779977585207163,0.1344413876036402,0.6782534092609002,0.8053868934622168,0.21094062895546473,2710.3,0.09729113848163531,0.3251416933078033,0.765051461183108,0.8950515829599817,0.3334848876182848,674.4
1,20221113_101737,[0.0004998766400914329],0.0925709319949614,0.359538347978536,0.7502372548969801,0.8724402919817521,0.38916712123828157,2624.3,0.08140724994815313,0.3994723943563608,0.7465015576435969,0.9081414323586681,0.42688611860458664,634.0
2,20221113_101737,[0.0004995066821070679],0.0692845002135646,0.4739943226719642,0.7938068811763583,0.8871163252726592,0.4839917630073159,2629.1,0.0750845913703625,0.457510353739445,0.7903024554252625,0.9087042670983527,0.4790223252314788,636.1
3,20221113_101737,[0.00049889049115077],0.04945027766611557,0.5879541652907653,0.83031023661914,0.9048930826354115,0.5893098297981899,2630.7,0.07151363102289346,0.4906503026302044,0.783887544962076,0.9087190976509676,0.47956738288585954,637.5
4,20221113_101737,[0.0004980286753286195],0.03925775148786227,0.6559673848087221,0.8586782541720324,0.9192329132603296,0.6574657953666809,2631.5,0.0773465616771808,0.5007419485312242,0.7953738203415506,0.904595865653111,0.5119396434380458,635.4
5,20221113_101737,[0.0004969220851487844],0.03146699826135246,0.7121190271025037,0.8797963669791762,0.9305117721687493,0.7166039324456149,2643.8,0.0761587200829616,0.5096857217641978,0.7943766016226547,0.9209392685156597,0.5070317309636335,639.2
6,20221113_101737,[0.0004955718126821722],0.025841855592590824,0.7573508787247926,0.8960584260610295,0.9411451526652972,0.755606129475605,2648.2,0.08472623211833147,0.5165074137540964,0.7944740304580101,0.9205774738238406,0.49627744188675527,639.5
7,20221113_101737,[0.0004939791904846868],0.023456649825788656,0.7788365077415791,0.9039419114821613,0.9395407626137192,0.7844907917401207,2653.7,0.08724111553568106,0.5221832124086526,0.8030712806261503,0.9259707588415877,0.5201189224536601,637.0
8,20221113_101737,[0.0004921457902821577],0.02115633805075856,0.7963965848262214,0.915657255900045,0.9453300536838489,0.7968800341572747,2642.8,0.09076567143201827,0.5219465237397414,0.7764269535358136,0.9164685579446641,0.5169890238688541,638.6
9,20221113_101737,[0.0004900734214192357],0.01930696695521184,0.8103836324892155,0.9151170383631496,0.9517408296291926,0.8171276362025782,2641.8,0.09311200076570877,0.5171323322332824,0.8073087197083691,0.8995187906118534,0.5123030887200283,637.9
10,20221113_101737,[0.00048776412907378835],0.018495548020048134,0.8175880445116687,0.9139890719480548,0.9509796207980883,0.8168550191686313,2640.1,0.09588856341747137,0.49748878249755263,0.759431342436717,0.8897594827872053,0.5074137339225182,639.0
11,20221113_101737,[0.00048522019223855637],0.023613546801013473,0.7801845284751414,0.892206902169996,0.9334886132047332,0.7807090031961519,2643.2,0.09829637580193006,0.4955260602327494,0.7963973568036007,0.9149064458333527,0.5107183869068438,639.7
12,20221113_101737,[0.00048244412147206283],0.019220338641495555,0.8132919214578919,0.911680672187286,0.9467364310754416,0.8154375917252865,2646.9,0.09290833559173804,0.5266412565341363,0.7999738372289218,0.9131336954923774,0.5217481842407813,639.5
13,20221113_101737,[0.00047943865642099525],0.01521193555733805,0.8409231458192669,0.9263885795838177,0.9621586152551701,0.8466073555241295,2641.5,0.09287783004916632,0.5385682064753312,0.8109553227057823,0.9354757529038644,0.5458683353203995,637.2
14,20221113_101737,[0.0004762067631165049],0.013214937353267512,0.8626731198121596,0.941783142924773,0.9711282907292993,0.8706253664966688,2629.6,0.1042810052060164,0.5251612140582156,0.8247107698367193,0.9284314999213581,0.5345615817950321,633.3
